step,train_loss,val_loss,timestamp
1,2.732,2.732,2026-04-03T19:29:51.872437+00:00
10,2.741,,2026-04-03T19:30:11.571968+00:00
20,2.135,,2026-04-03T19:30:30.996545+00:00
30,1.828,,2026-04-03T19:30:49.133133+00:00
40,1.39,,2026-04-03T19:31:06.111702+00:00
50,1.075,1.075,2026-04-03T19:31:46.490909+00:00
50,1.185,,2026-04-03T19:31:48.366889+00:00
60,0.983,,2026-04-03T19:32:05.827725+00:00
70,0.927,,2026-04-03T19:32:24.433709+00:00
80,0.758,,2026-04-03T19:32:42.433590+00:00
90,0.716,,2026-04-03T19:33:01.750670+00:00
100,0.529,0.529,2026-04-03T19:33:42.599228+00:00
100,0.558,,2026-04-03T19:33:43.917840+00:00
110,0.437,,2026-04-03T19:34:00.089151+00:00
120,0.396,,2026-04-03T19:34:18.185891+00:00
130,0.379,,2026-04-03T19:34:37.382324+00:00
140,0.355,,2026-04-03T19:34:55.134334+00:00
150,0.314,0.314,2026-04-03T19:35:33.008211+00:00
150,0.365,,2026-04-03T19:35:34.504316+00:00
160,0.29,,2026-04-03T19:35:53.052899+00:00
170,0.29,,2026-04-03T19:36:10.403967+00:00
180,0.294,,2026-04-03T19:36:28.080247+00:00
190,0.301,,2026-04-03T19:36:46.179425+00:00
200,0.25,0.25,2026-04-03T19:37:26.024450+00:00
200,0.259,,2026-04-03T19:37:27.883200+00:00
210,0.243,,2026-04-03T19:37:45.849730+00:00
220,0.242,,2026-04-03T19:38:04.062273+00:00
230,0.194,,2026-04-03T19:38:23.337048+00:00
240,0.204,,2026-04-03T19:38:40.119340+00:00
250,0.196,0.196,2026-04-03T19:39:17.648550+00:00
250,0.249,,2026-04-03T19:39:19.956334+00:00
260,0.229,,2026-04-03T19:39:36.025557+00:00
270,0.211,,2026-04-03T19:39:51.702012+00:00
280,0.198,,2026-04-03T19:40:08.958976+00:00
290,0.21,,2026-04-03T19:40:26.129778+00:00
300,0.188,0.188,2026-04-03T19:41:04.720286+00:00
300,0.194,,2026-04-03T19:41:06.583044+00:00
310,0.217,,2026-04-03T19:41:23.130462+00:00
320,0.172,,2026-04-03T19:41:41.813933+00:00
330,0.154,,2026-04-03T19:41:59.401350+00:00
340,0.165,,2026-04-03T19:42:17.899524+00:00
350,0.145,0.145,2026-04-03T19:42:58.946193+00:00
350,0.146,,2026-04-03T19:43:00.580836+00:00
360,0.149,,2026-04-03T19:43:17.679453+00:00
370,0.172,,2026-04-03T19:43:35.298326+00:00
380,0.152,,2026-04-03T19:43:52.290630+00:00
390,0.132,,2026-04-03T19:44:10.042352+00:00
400,0.136,0.136,2026-04-03T19:44:49.285720+00:00
400,0.13,,2026-04-03T19:44:50.776554+00:00
410,0.154,,2026-04-03T19:45:08.385278+00:00
420,0.14,,2026-04-03T19:45:26.061056+00:00
430,0.16,,2026-04-03T19:45:42.743885+00:00
440,0.132,,2026-04-03T19:45:59.696580+00:00
450,0.117,0.117,2026-04-03T19:46:37.521190+00:00
450,0.133,,2026-04-03T19:46:38.796039+00:00
460,0.133,,2026-04-03T19:46:56.420763+00:00
470,0.125,,2026-04-03T19:47:15.818632+00:00
480,0.116,,2026-04-03T19:47:33.869174+00:00
490,0.119,,2026-04-03T19:47:51.658943+00:00
500,0.114,0.114,2026-04-03T19:48:29.952284+00:00
500,0.094,,2026-04-03T19:48:31.770521+00:00
510,0.118,,2026-04-03T19:48:50.447484+00:00
520,0.114,,2026-04-03T19:49:07.162081+00:00
530,0.133,,2026-04-03T19:49:24.550377+00:00
540,0.118,,2026-04-03T19:49:41.049641+00:00
550,0.104,0.104,2026-04-03T19:50:16.794777+00:00
550,0.11,,2026-04-03T19:50:18.659244+00:00
560,0.112,,2026-04-03T19:50:36.418472+00:00
570,0.125,,2026-04-03T19:50:53.030276+00:00
580,0.111,,2026-04-03T19:51:11.058896+00:00
590,0.109,,2026-04-03T19:51:29.287531+00:00
600,0.094,0.094,2026-04-03T19:52:09.440302+00:00
600,0.115,,2026-04-03T19:52:11.035986+00:00
610,0.125,,2026-04-03T19:52:26.236551+00:00
620,0.098,,2026-04-03T19:52:45.401233+00:00
630,0.117,,2026-04-03T19:53:01.713327+00:00
640,0.109,,2026-04-03T19:53:16.973128+00:00
650,0.094,0.094,2026-04-03T19:53:54.467522+00:00
650,0.1,,2026-04-03T19:53:56.296848+00:00
660,0.1,,2026-04-03T19:54:13.009191+00:00
670,0.109,,2026-04-03T19:54:31.224022+00:00
680,0.104,,2026-04-03T19:54:48.970303+00:00
690,0.097,,2026-04-03T19:55:06.454272+00:00
700,0.095,0.095,2026-04-03T19:55:47.004016+00:00
700,0.091,,2026-04-03T19:55:49.385276+00:00
710,0.124,,2026-04-03T19:56:05.003362+00:00
720,0.093,,2026-04-03T19:56:23.902138+00:00
730,0.105,,2026-04-03T19:56:42.816645+00:00
740,0.092,,2026-04-03T19:57:01.464293+00:00
750,0.104,0.104,2026-04-03T19:57:38.056499+00:00
750,0.102,,2026-04-03T19:57:39.775698+00:00
760,0.088,,2026-04-03T19:57:58.874749+00:00
770,0.098,,2026-04-03T19:58:17.960514+00:00
780,0.096,,2026-04-03T19:58:36.128605+00:00
790,0.091,,2026-04-03T19:58:52.912889+00:00
800,0.094,0.094,2026-04-03T19:59:30.168790+00:00
800,0.1,,2026-04-03T19:59:31.858118+00:00
810,0.086,,2026-04-03T19:59:49.775104+00:00
820,0.104,,2026-04-03T20:00:06.716585+00:00
830,0.087,,2026-04-03T20:00:23.512428+00:00
840,0.089,,2026-04-03T20:00:41.847408+00:00
850,0.086,0.086,2026-04-03T20:01:18.340557+00:00
850,0.089,,2026-04-03T20:01:20.170226+00:00
860,0.089,,2026-04-03T20:01:37.309936+00:00
870,0.095,,2026-04-03T20:01:53.205683+00:00
880,0.101,,2026-04-03T20:17:35.637026+00:00
890,0.091,,2026-04-03T20:17:50.272916+00:00
900,0.087,0.087,2026-04-03T20:18:25.266716+00:00
900,0.089,,2026-04-03T20:18:27.619078+00:00
910,0.097,,2026-04-03T20:18:43.792971+00:00
920,0.081,,2026-04-03T20:19:00.379179+00:00
930,0.087,,2026-04-03T20:35:40.521569+00:00
940,0.097,,2026-04-03T20:35:57.344372+00:00
950,0.084,0.084,2026-04-03T20:44:37.515519+00:00
950,0.081,,2026-04-03T20:44:39.121379+00:00
960,0.083,,2026-04-03T20:44:57.926656+00:00
970,0.098,,2026-04-03T20:45:15.753636+00:00
980,0.1,,2026-04-03T20:45:32.688122+00:00
990,0.082,,2026-04-03T20:45:50.274087+00:00
1000,0.081,0.081,2026-04-03T20:46:27.800737+00:00
1000,0.096,,2026-04-03T20:46:29.752392+00:00
1010,0.077,,2026-04-03T20:46:48.717523+00:00
1020,0.079,,2026-04-03T20:47:05.980126+00:00
1030,0.096,,2026-04-03T20:47:23.875309+00:00
1040,0.081,,2026-04-03T20:47:40.708125+00:00
1050,0.08,0.08,2026-04-03T20:48:21.085454+00:00
1050,0.076,,2026-04-03T20:48:23.716774+00:00
1060,0.081,,2026-04-03T20:48:42.292681+00:00
1070,0.09,,2026-04-03T20:48:59.207707+00:00
1080,0.083,,2026-04-03T20:49:17.645959+00:00
1090,0.076,,2026-04-03T20:49:34.173975+00:00
1100,0.082,0.082,2026-04-03T20:50:11.143644+00:00
1100,0.081,,2026-04-03T20:50:12.878470+00:00
1110,0.084,,2026-04-03T20:50:30.555957+00:00
1120,0.083,,2026-04-03T20:50:47.723954+00:00
1130,0.082,,2026-04-03T20:51:05.598656+00:00
1140,0.073,,2026-04-03T20:51:24.500846+00:00
1150,0.087,0.087,2026-04-03T20:52:00.762630+00:00
1150,0.087,,2026-04-03T20:52:02.274882+00:00
1160,0.078,,2026-04-03T20:52:20.374581+00:00
1170,0.084,,2026-04-03T20:52:37.662813+00:00
1180,0.073,,2026-04-03T20:52:55.004247+00:00
1190,0.082,,2026-04-03T20:53:13.337317+00:00
1200,0.076,0.076,2026-04-03T20:53:53.432268+00:00
1200,0.07,,2026-04-03T20:53:54.945360+00:00
1210,0.083,,2026-04-03T20:54:12.309608+00:00
1220,0.088,,2026-04-03T20:54:31.090407+00:00
1230,0.089,,2026-04-03T20:54:48.065900+00:00
