step,train_loss,val_loss,timestamp
1,0.121,0.121,2026-04-03T02:53:53.986550+00:00
10,0.061,,2026-04-03T02:54:12.327626+00:00
20,0.067,,2026-04-03T02:54:29.598569+00:00
30,0.066,,2026-04-03T02:54:46.346939+00:00
40,0.071,,2026-04-03T02:55:02.979210+00:00
50,0.134,0.134,2026-04-03T02:55:41.569761+00:00
50,0.065,,2026-04-03T02:55:43.059449+00:00
60,0.058,,2026-04-03T02:56:01.907479+00:00
70,0.061,,2026-04-03T02:56:20.219094+00:00
80,0.063,,2026-04-03T02:56:38.161397+00:00
90,0.06,,2026-04-03T02:56:56.404511+00:00
100,0.105,0.105,2026-04-03T02:57:35.761743+00:00
100,0.07,,2026-04-03T02:57:38.134327+00:00
110,0.058,,2026-04-03T02:57:55.296146+00:00
120,0.059,,2026-04-03T02:58:12.978389+00:00
130,0.07,,2026-04-03T02:58:29.348313+00:00
140,0.062,,2026-04-03T02:58:47.734510+00:00
150,0.124,0.124,2026-04-03T02:59:24.896463+00:00
150,0.059,,2026-04-03T02:59:26.730497+00:00
160,0.062,,2026-04-03T02:59:44.745566+00:00
170,0.067,,2026-04-03T03:00:03.507687+00:00
180,0.087,,2026-04-03T03:00:21.849489+00:00
190,0.089,,2026-04-03T03:00:38.471667+00:00
200,0.114,0.114,2026-04-03T03:01:15.701083+00:00
200,0.089,,2026-04-03T03:01:17.452431+00:00
